country_name,year,pop_thous,gdp_US_mil,homicides_per_100_000,life_expectancy_years,unemployment_per,departures_thous,tourism_expenditures_US_mil,arrivals_thous,tourism_receipts_US_mil
Cambodia,1999,11886458,3517242477.23,4.9,57.6,2.55,49000,41000000,368000,240000000
"Korea, Rep.",1999,46616677,485248229336.65,0.8,75.41,6.34,4342000,5555000000,4660000,8337000000
Cyprus,1999,926046,10497907227.62,1.1,77.88,5.7,540000,553576500,2434000,2091419000
Sweden,1999,8857874,271177018783.89,1.1,79.44,7.61,10500000,8927000000,2595000,4943000000
France,1999,60496718,1492647560196.04,1.6,78.76,11.98,16709000,22795000000,73147000,37770000000
United Kingdom,1999,58682466,1668270506390.55,1.6,77.39,6.04,53881000,45536000000,23341000,30807000000
Syrian Arab Republic,1999,16013985,15873875968.99,2.1,72.88,7.6,2994000,631000000,1386000,1031000000
Malaysia,1999,22661298,79148947368.42,2.6,72.42,3.43,26067000,2382000000,7931000,4403000000
Netherlands,1999,15812088,446898572341.79,1.3,77.84,3.62,14184000,13468000000,9874000,12451000000
Canada,1999,30401286,676084000807.7,1.8,78.89,7.58,18368000,13999000000,19411000,12024000000
Belarus,2000,9979610,12736856827.98,10.2,68.91,11.94,1289000,247000000,60000,188000000
Brazil,2000,174790340,655420645476.91,23.7,70.12,9.89,3228000,4548000000,5313000,1969000000
Cambodia,2000,12155239,3677897739.08,4.7,58.43,2.45,41000,52000000,466000,345000000
Colombia,2000,39629968,99886577330.73,65.7,72.94,20.52,1235000,1452000000,557000,1313000000
Costa Rica,2000,3962372,14949514493.42,6.3,77.45,5.08,381000,545000000,1088000,1629000000
Dominican Republic,2000,8471321,24305116729.19,14.1,69.43,6.43,360000,440000000,2978000,2860000000
Ecuador,2000,12681123,18327764882.44,14.5,72.76,4.8,520000,416000000,627000,451000000
El Salvador,2000,5887936,11784927700,60.5,68.88,6.96,923000,219000000,795000,437000000
Estonia,2000,1396985,5685774808.81,10.2,70.42,13.36,1800000,253000000,1220000,657000000
Georgia,2000,4077131,3057424694.3,5.1,69.9,10.82,315000,129000000,387000,107000000
Guatemala,2000,11650743,19288827158.9,24.9,67.85,2.9,488000,216000000,826000,498000000
Honduras,2000,6574509,7103507989.05,48.7,70.69,4.04,274000,198000000,471000,263000000
India,2000,1056575549,468394948471.62,4.6,62.51,2.73,4416000,3686000000,2649000,3598000000
Kazakhstan,2000,14883626,18291990619.14,15.4,65.52,12.75,1247000,483000000,1683000,403000000
Lithuania,2000,3499536,11539211480.36,10.6,72.02,15.93,3632000,261000000,1083000,430000000
Mexico,2000,98899845,707906744574.64,10.6,74.34,2.56,11079000,6365000000,20641000,9133000000
Nicaragua,2000,5069302,5107329007.09,9.5,69.53,7.47,486000,126000000,486000,129000000
Panama,2000,3030328,12304115000,9.9,75.06,4.21,216000,241000000,484000,628000000
Papua New Guinea,2000,5847586,3521339699.07,8.3,59.27,2.92,52000,50000000,58000,7000000
Paraguay,2000,5323201,8855705139.56,18.8,70.55,9.7,175000,154000000,289000,88000000
Puerto Rico,2000,3810605,61701800000,18.3,76.69,10.08,1259000,1333000000,3341000,2388000000
Russian Federation,2000,146596557,259710142196.94,28.1,65.48,10.58,18371000,8848000000,21169000,3429000000
Thailand,2000,62952642,126392308497.75,8.2,70.62,2.39,1909000,3218000000,9579000,9935000000
Ukraine,2000,49175848,31261527363.14,9,67.68,11.71,13422000,561000000,6431000,563000000
United States,2000,282162411,10252345464000,5.5,76.64,3.99,61327000,91473000000,51238000,120912000000
Uruguay,2000,3319736,22823255801.84,6.4,74.73,13.03,667000,381000000,1968000,827000000
"Venezuela, RB",2000,24192446,117140723529.41,32.8,72.11,13.99,954000,1647000000,469000,469000000
Hungary,2000,10210971,47310623887.23,2,71.25,6.56,11065000,1722000000,2992000,3809000000
Bangladesh,2000,127657854,53369787318.62,2.5,65.45,3.27,1128000,471000000,199000,50000000
Armenia,2000,3069591,1911563665.39,3,71.41,11.25,111000,56000000,45000,52000000
Latvia,2000,2367550,7937758980.3,10,70.31,14.21,2596000,281000000,509000,172000000
Japan,2000,126843000,4887519660744.86,0.5,81.08,4.7,17819000,42643000000,4757000,5970000000
Austria,2000,8011566,196799778883.36,1,78.13,4.69,7528000,7001000000,17982000,11382000000
Indonesia,2000,211513823,165021012077.81,1,65.77,6.08,2205000,3197000000,5064000,4975000000
Ireland,2000,3805174,99852958356.37,1,76.54,4.32,3783000,2626000000,6646000,3517000000
Malta,2000,390087,4306192435.82,1,78.35,6.32,200000,224000000,1216000,731000000
Singapore,2000,4027887,96074477958.24,1,77.95,3.7,4444000,4535000000,6062000,5142000000
Switzerland,2000,7184250,272055499940.79,1,79.68,2.67,12240000,7360000000,7821000,8988000000
Israel,2000,6289000,132243719324.06,2.4,78.95,11.1,3530000,3733000000,2417000,4611000000
Malaysia,2000,23194257,93789736842.11,2.4,72.59,3,30532000,2543000000,10222000,5873000000
Finland,2000,5176209,125539893126.96,2.9,77.47,11.13,5914000,2293000000,1971000,2035000000
"Hong Kong SAR, China",2000,6665000,171668164082.55,0.6,80.88,4.92,58901000,12502000000,8814000,8198000000
Germany,2000,82211508,1949953934033.54,1.2,77.93,7.92,80507000,57601000000,18983000,24943000000
Kyrgyz Republic,2000,4898400,1369692689.43,8.7,68.56,7.54,47000,28000000,59000,20000000
Spain,2000,40567864,595402616546.9,1.4,78.97,13.78,4100000,7710000000,46403000,32656000000
Australia,2000,19153000,415222633925.77,1.9,79.23,6.28,3498000,9065000000,4931000,11594000000
Mauritius,2000,1186873,4663313618.19,2.2,71.66,9.28,163000,203000000,656000,732000000
Poland,2000,38258629,171886058765.33,2.2,73.75,16.31,56677000,3417000000,17400000,6128000000
Syrian Arab Republic,2000,16410848,19325894913.13,2.2,73.11,9.54,3863000,669000000,2100000,1082000000
Nepal,2000,23941110,5494252207.91,2.7,62.29,1.82,155000,109000000,464000,219000000
Philippines,2000,77991755,81026300310.01,7.4,68.79,3.83,1670000,1841000000,1992000,2334000000
Cyprus,2000,943290,9985843543.83,0.8,78.01,4.97,588000,533379000,2686000,2098696000
"Korea, Rep.",2000,47008111,561633125839.99,0.8,75.91,4.4,5508000,7945000000,5322000,8527000000
Denmark,2000,5339616,164158739097.62,1.1,76.59,4.48,5011000,4669000000,3535000,3671000000
Netherlands,2000,15925513,416442786069.65,1.1,77.99,2.72,13896000,13649000000,10003000,11285000000
Norway,2000,4490967,171315639982.73,1.1,78.63,3.46,2394000,4893000000,3104000,2521000000
Sweden,2000,8872109,260158695509.81,1.1,79.64,5.47,10147000,8959000000,3828000,4825000000
Morocco,2000,28793679,38857251336.34,1.6,68.68,13.58,1508000,506000000,4278000,2280000000
United Kingdom,2000,58892514,1648269027084.28,1.6,77.74,5.56,56837000,47009000000,23212000,29978000000
Belgium,2000,10251250,237904919845.22,2.1,77.72,6.59,7932000,9429000000,6457000,6592000000
China,2000,1262645000,1211346869605.24,2.1,71.4,3.3,10473000,14169000000,31229000,17318000000
Romania,2000,22442971,37253259017,2.6,71.16,6.97,6388000,447000000,5264000,394000000
Bulgaria,2000,8170172,13153016530.87,4.2,71.66,16.22,2337000,764000000,2785000,1364000000
Luxembourg,2000,436300,21263514833.24,0.9,77.87,2.35,950000,1309000000,852000,1686000000
Italy,2000,56942108,1141759996314.72,1.3,79.78,10.84,20080000,18167000000,41181000,28708000000
New Zealand,2000,3857700,52623281956.7,1.3,78.64,6.13,1283000,1235000000,1780000,2272000000
Canada,2000,30685730,742295468318.63,1.8,79.14,6.83,19182000,15125000000,19627000,13035000000
France,2000,60912500,1362248940482.77,1.8,79.06,10.22,19886000,26703000000,77190000,38534000000
Iceland,2000,281205,9003639475.42,1.8,79.65,1.94,283000,471000000,303000,386000000
Slovenia,2000,1988925,20342201356.01,1.8,75.41,6.92,1965000,544000000,1090000,1016000000
Albania,2001,3060173,3922099470.97,7,74.29,17.41,955000,269000000,354000,451000000
Belarus,2001,9928549,12354820143.88,9.8,68.51,11.31,1387000,486000000,61000,272000000
Brazil,2001,177196054,559372276081.97,24.7,70.46,9.61,2674000,3765000000,4773000,1844000000
Cambodia,2001,12405408,3984000517.02,3.3,59.34,1.64,37000,59000000,605000,429000000
Colombia,2001,40255967,98211749595.54,67.9,73.24,15.04,1381000,1556000000,616000,1483000000
Costa Rica,2001,4034074,15913363440.51,6.4,77.6,5.91,361000,430000000,1131000,1480000000
Dominican Republic,2001,8598601,25599311449.38,12.6,69.69,7.26,331000,425000000,2882000,2798000000
Ecuador,2001,12914667,24468324000,12.9,73.08,4.25,562000,465000000,641000,438000000
El Salvador,2001,5927006,12282533600,60.8,69.16,6.96,933000,247000000,735000,452000000
Estonia,2001,1388115,6245069734.13,9.8,70.26,13.13,1658000,253000000,1320000,661000000
Georgia,2001,4014373,3219488663.77,5.6,70.06,11.16,306000,136000000,302000,136000000
Guatemala,2001,11924946,18702802789.3,27.1,68.3,2.78,580000,266000000,835000,588000000
Honduras,2001,6751912,7565877533.54,52.1,70.98,4,279000,205000000,518000,260000000
India,2001,1075000085,485441026156.55,4.3,62.91,2.87,4564000,4367000000,2537000,3342000000
Kazakhstan,2001,14858335,22152694161.89,14.4,65.77,10.43,2294000,761000000,2693000,502000000
Kyrgyz Republic,2001,4945100,1525112241.84,7.8,68.71,7.84,46000,21000000,99000,32000000
Latvia,2001,2337170,8350252966.2,9.3,70.76,13.82,2697000,255000000,591000,153000000
Lithuania,2001,3470818,12252498921.02,10.2,71.66,16.84,3390000,227000000,1271000,425000000
Nepal,2001,24347106,6007055042.18,3.5,62.95,1.86,200000,128000000,361000,191000000
Nicaragua,2001,5145366,5323146565.7,10.5,69.93,7.44,499000,128000000,483000,135000000
Panama,2001,3089648,12502013400,9.9,75.23,4.38,200000,227000000,519000,665000000
Papua New Guinea,2001,5974629,3081024212.43,7.6,59.49,2.85,38000,38000000,54000,5000000
Paraguay,2001,5428444,8495806432.18,24.3,70.79,9.65,157000,130000000,279000,91000000
Philippines,2001,79672873,76262072467.38,7.3,68.83,3.7,1787000,1918000000,1797000,2011000000
Puerto Rico,2001,3818774,69208400000,19.7,77.07,11.4,1331000,1456000000,3551000,2728000000
Russian Federation,2001,145976083,306602070620.5,29.4,65.38,8.98,18030000,9760000000,21595000,4726000000
Thailand,2001,63539196,120296746256.63,7.9,70.83,2.6,2011000,3334000000,10133000,9378000000
Uruguay,2001,3325473,20898788416.63,6.6,74.94,12.93,531000,338000000,1892000,700000000
"Venezuela, RB",2001,24646472,122903960204.51,31.9,72.29,13.04,933000,1718000000,584000,677000000
China,2001,1271850000,1339395718865.3,2,71.73,3.8,12133000,14992000000,33167000,19006000000
Luxembourg,2001,441525,21272418791.95,2,77.82,1.8,923000,1464000000,836000,1780000000
Poland,2001,38248076,190521019077.16,2,74.2,18.37,53122000,3595000000,15000000,5121000000
Hungary,2001,10187576,53821315066.1,2.5,72.25,5.67,11167000,1887000000,3070000,4191000000
Finland,2001,5188008,129250111856.82,3,77.97,10.29,5824000,2442000000,1999000,2065000000
Mexico,2001,100298153,756706300589.79,10,74.66,2.54,12075000,6685000000,19810000,9190000000
Ukraine,2001,48683865,37972301334.67,10,67.84,11.06,14849000,676000000,9174000,759000000
Japan,2001,127149000,4303544259842.72,0.5,81.42,5,16216000,35526000000,4772000,5750000000
Denmark,2001,5358783,164791442543.38,1,76.79,4.16,4946000,4861000000,3684000,4003000000
"Hong Kong SAR, China",2001,6714300,169403241524.34,1,81.42,5.09,61096000,12317000000,8878000,7923000000
Sweden,2001,8895960,240283858225.79,1,79.8,4.73,10741000,7916000000,4108000,5200000000
Malta,2001,393028,4331870647.72,1.5,78.84,7.11,179000,204000000,1180000,704000000
Maldives,2001,286306,870179738.56,2.4,70.96,2.14,41000,59000000,461000,327000000
Armenia,2001,3050687,2118467913.38,2.9,71.8,11.44,110000,59000000,123000,81000000
Bulgaria,2001,8009142,14075616789.49,3.9,71.77,19.92,2730000,836000000,3186000,1262000000
Italy,2001,56974100,1162317852348.99,1.2,80.13,9.6,20567000,16997000000,39563000,26918000000
Switzerland,2001,7229854,278631271391.33,1.2,80.18,2.49,11554000,7085000000,7455000,9290000000
France,2001,61357430,1376465324384.79,1.7,79.16,8.61,19265000,26749000000,75202000,38385000000
Cyprus,2001,960276,10397896174.86,0.7,78.14,3.98,684000,558868600,2697000,2180419000
Slovenia,2001,1992060,20875387068.11,1.4,75.76,5.68,2055000,560000000,1219000,1059000000
Spain,2001,40850412,625975838926.18,1.4,79.37,10.35,4139000,8466000000,48565000,33829000000
Morocco,2001,29126330,39459581217.38,1.9,69.19,12.46,1701000,589000000,4380000,2966000000
Malaysia,2001,23709119,92783947368.42,2.2,72.78,3.53,36248000,3391000000,12775000,7627000000
Syrian Arab Republic,2001,16766561,21099833783.5,2.2,73.37,11.63,3492000,670000000,2192000,1150000000
Bangladesh,2001,130088702,53991289844.33,2.7,65.96,3.55,1075000,341000000,207000,48000000
Belgium,2001,10286570,237841968680.09,2.7,77.97,6.18,6570000,10878000000,6452000,8304000000
Romania,2001,22131970,40394824679.12,2.7,71.16,6.56,6408000,475000000,4938000,419000000
Norway,2001,4513751,174003247439.3,0.8,78.79,3.74,2348000,4718000000,3073000,2380000000
Singapore,2001,4138012,89794943349.89,0.8,78.25,3.76,4363000,6600000000,5857000,4641000000
Germany,2001,82349925,1950648769574.94,1.1,78.33,7.77,81551000,56529000000,17861000,24175000000
United Kingdom,2001,59119673,1625799625737.73,1.6,77.99,4.7,58281000,46410000000,20982000,26137000000
Israel,2001,6439000,130671332049.36,3.6,79.41,11.81,3561000,3887000000,1196000,2854000000
United States,2001,284968955,10581821399000,6.7,76.84,4.73,59442000,85610000000,46927000,109103000000
Austria,2001,8042293,197337879194.63,0.9,78.58,4.01,8350000,7408000000,18180000,11511000000
"Korea, Rep.",2001,47370164,533052076313.53,0.9,76.41,4,6084000,8349000000,5147000,7919000000
Ireland,2001,3866243,109135253959.73,1.3,77.13,3.68,4216000,2956000000,6353000,3789000000
Netherlands,2001,16046180,431213422818.79,1.3,78.19,2.12,14214000,13061000000,9500000,11147000000
New Zealand,2001,3880500,53872425916.62,1.3,78.69,5.43,1287000,1255000000,1900000,2340000000
Australia,2001,19413000,378376086723.19,1.8,79.63,6.74,3443000,8184000000,4856000,11333000000
Canada,2001,31020902,736379777892.56,1.8,79.34,7.22,18359000,14634000000,19679000,12680000000
Kuwait,2001,2103282,34890772742.09,1.8,73.21,0.8,1666000,3207000000,73000,286000000
Albania,2002,3051010,4348070165.19,6.9,74.58,17.51,1303000,386000000,470000,492000000
Belarus,2002,9865548,14594249022.89,10.1,68.06,10.89,1436000,527000000,63000,295000000
Brazil,2002,179537520,507962487700.02,25.3,70.81,9.37,2338000,2929000000,3785000,2142000000
Colombia,2002,40875360,97963003804.79,68.3,73.52,15.63,1277000,1355000000,567000,1237000000
Costa Rica,2002,4100925,16504795592.93,6.3,77.74,6.33,364000,427000000,1113000,1429000000
Dominican Republic,2002,8724975,27362875602.5,14.5,69.96,6.78,332000,429000000,2811000,2730000000
Ecuador,2002,13143465,28548945000,14.6,73.37,4.93,627000,507000000,683000,449000000
El Salvador,2002,5962136,12664190300,47.7,69.43,5.73,1001000,266000000,798000,521000000
Estonia,2002,1379350,7322069511.16,10.3,70.9,10.03,1849000,305000000,1362000,737000000
Georgia,2002,3978515,3395773557.41,6.3,70.22,12.59,317000,189000000,298000,144000000
Guatemala,2002,12208848,20776669466.61,29.7,68.72,2.85,629000,329000000,884000,647000000
Honduras,2002,6929265,7775075857.73,52.8,71.25,4.02,279000,221000000,550000,305000000
Kazakhstan,2002,14858948,24636593223.35,13,65.97,9.33,2274000,863000000,3678000,680000000
Kyrgyz Republic,2002,4990700,1605640974.29,8.2,68.16,12.55,59000,27000000,140000,48000000
Latvia,2002,2310173,9546441564.35,9.2,70.96,13.83,2306000,267000000,848000,201000000
Lithuania,2002,3443067,14278357283.74,8.5,71.76,13.01,3584000,334000000,1428000,556000000
Mexico,2002,101684758,772106378935.38,9.7,74.92,3,11948000,7087000000,19667000,9547000000
Nepal,2002,24725627,6050875806.66,3.5,63.57,1.87,238000,108000000,275000,134000000
Nicaragua,2002,5219328,5224213017.54,10.7,70.31,7.61,532000,125000000,472000,135000000
Panama,2002,3149188,12994310400,11.9,75.4,4.55,200000,252000000,534000,710000000
Papua New Guinea,2002,6098621,2999511040.2,8,59.72,2.88,92000,60000000,54000,3000000
Paraguay,2002,5531962,7196260656.85,24.9,71.02,9.39,141000,117000000,250000,76000000
Philippines,2002,81365258,81357605641.85,8.1,68.88,3.62,1969000,1874000000,1933000,2018000000
Puerto Rico,2002,3823701,71623500000,20.6,77.76,11.94,1227000,1319000000,3087000,2486000000
Russian Federation,2002,145306046,345470494417.86,30.5,65.13,7.88,20428000,11362000000,23309000,5278000000
Thailand,2002,64069087,134300851255,7.1,71.09,1.82,2250000,3888000000,10873000,10388000000
Ukraine,2002,48202500,42351593887.28,9,68.28,10.14,14729000,794000000,10517000,1001000000
United States,2002,287625193,10936419054000,5.6,76.94,5.78,58066000,81860000000,43581000,104427000000
Uruguay,2002,3326040,13606494599.43,6.9,75.15,13.04,530000,243000000,1258000,409000000
"Venezuela, RB",2002,25100408,92893587733.65,37.8,72.47,16.17,881000,1546000000,432000,484000000
China,2002,1280400000,1470550015081.55,2,72.06,4.2,16602000,16759000000,36803000,21742000000
Hungary,2002,10158608,67716887203.41,2,72.35,5.61,12966000,2211000000,3013000,3774000000
Finland,2002,5200598,139552983248.64,2.5,78.12,10.42,5857000,2438000000,2043000,2235000000
Japan,2002,127445000,4115116279069.77,0.5,81.56,5.4,16523000,34977000000,5239000,6069000000
"Hong Kong SAR, China",2002,6744100,166349228737.39,1,81.43,7.28,64540000,12418000000,10689000,9849000000
Norway,2002,4538159,195418347152.98,1,78.99,4.02,2629000,5610000000,3111000,2581000000
Malta,2002,395969,4689832689.83,1.5,78.74,6.9,157000,180000000,1134000,757000000
New Zealand,2002,3948500,66627729311.45,1.5,78.85,5.28,1293000,1386000000,2026000,3159000000
Cambodia,2002,12637727,4284028482.54,3.4,60.28,1.63,45000,64000000,787000,509000000
Germany,2002,82488495,2079136081309.99,1.2,78.23,8.48,80393000,59496000000,17969000,26690000000
Netherlands,2002,16148929,471613965744.4,1.2,78.29,2.55,16719000,14201000000,9595000,11745000000
Switzerland,2002,7284753,301416810214.29,1.2,80.39,2.92,11427000,7210000000,6868000,9117000000
Armenia,2002,3033978,2376335048.4,2.3,72.11,11.52,131000,85000000,162000,81000000
Malaysia,2002,24208391,100845263157.9,2.3,72.98,3.48,29866000,3330000000,13292000,8084000000
Luxembourg,2002,446175,23616328816.11,1.4,77.97,2.62,1049000,1936000000,885000,2497000000
Australia,2002,19651400,394648911678.53,1.9,79.94,6.37,3461000,8640000000,4841000,12148000000
Canada,2002,31360079,757950678646.53,1.9,79.49,7.66,17705000,14257000000,20057000,12744000000
France,2002,61805267,1494286655373.61,1.9,79.26,8.7,18315000,27808000000,77012000,40537000000
Poland,2002,38230364,198680882352.94,1.9,74.5,19.9,45043000,3440000000,13980000,4971000000
United Kingdom,2002,59370479,1773015587529.98,1.9,78.14,5.04,59377000,51125000000,22307000,27819000000
Syrian Arab Republic,2002,17084632,21582248881.66,2.2,73.66,11.68,3299000,760000000,2661000,970000000
Maldives,2002,294186,897031250,2.7,71.71,2.4,43000,60000000,485000,337000000
Bulgaria,2002,7837161,16276456427.54,3.2,71.87,18.11,3188000,1018000000,3433000,1392000000
Cyprus,2002,976964,11420230769.23,0.2,78.26,3.3,744000,568103600,2418000,2116491000
Austria,2002,8081957,213377771503.86,0.8,78.68,4.85,8266000,7743000000,18611000,12334000000
"Korea, Rep.",2002,47644736,609020054512.46,0.8,76.77,3.3,7123000,11440000000,5347000,7621000000
Singapore,2002,4175950,92537752708.59,0.8,78.55,5.65,4399000,8212000000,5855000,4458000000
Italy,2002,57059007,1266510634293.24,1.1,80.23,9.21,22978000,19635000000,39799000,28190000000
Kuwait,2002,2136997,38137545245.15,1.1,73.28,1.1,1725000,3412000000,96000,320000000
Sweden,2002,8924958,264345544361.26,1.1,79.85,4.97,12888000,8221000000,4276000,5671000000
Morocco,2002,29454768,42236836820.62,1.6,69.77,11.59,1533000,669000000,4453000,3157000000
Azerbaijan,2002,8171950,6235856819.58,2.6,67.39,10,1141000,110000000,576000,63000000
Bangladesh,2002,132478086,54724081490.51,2.6,66.43,3.96,1158000,309000000,207000,59000000
Romania,2002,21730496,46066101951.29,2.6,71.01,8.11,5757000,448000000,4794000,400000000
Belgium,2002,10332785,258860436664.78,3.1,78.08,6.91,6773000,11270000000,6720000,7598000000
Israel,2002,6570000,121042412533.24,3.6,79.45,12.89,3273000,3322000000,861900,2426000000
India,2002,1093317189,514937961192.91,4.2,63.3,3.05,4940000,4350000000,2384000,3300000000
Denmark,2002,5375931,178635163717.43,0.9,76.9,4.27,4935000,5838000000,3436000,4791000000
Ireland,2002,3931947,127949875023.53,1.3,77.63,4.22,4634000,3835000000,6476000,4228000000
Spain,2002,41431558,705145868624.13,1.3,79.57,11.15,3871000,9366000000,50331000,35468000000
Slovenia,2002,1994530,23563576758.1,1.8,76.01,5.92,2127000,647000000,1302000,1152000000
Belarus,2003,9796749,17827791321.31,9,68.55,10.15,1108000,436000000,64000,339000000
Brazil,2003,181809246,558319920831.98,25.7,71.17,9.99,3229000,2874000000,4133000,2673000000
Cambodia,2003,12856163,4658246918.27,4,61.24,1.57,60000,60000000,701000,441000000
Colombia,2003,41483869,94641378693.22,55.8,73.78,14.19,1177000,1349000000,625000,1191000000
Costa Rica,2003,4164053,17196009811.16,7.3,77.87,6.56,373000,484000000,1239000,1573000000
Dominican Republic,2003,8850317,21642882856.42,21.2,70.23,6.94,321000,408000000,3282000,3128000000
Ecuador,2003,13369678,32432858000,14.6,73.64,5.66,613000,500000000,761000,408000000
El Salvador,2003,5994077,13243892200,56.2,69.68,6.26,940000,311000000,720000,664000000
Estonia,2003,1370720,9833870709.12,10.7,71.32,11.29,2075000,404000000,1462000,883000000
Guatemala,2003,12500478,21917706490.53,33.9,69.09,2.81,658000,373000000,880000,646000000
Honduras,2003,7106319,8140282679.97,57.9,71.51,5.3,277000,274000000,611000,372000000
India,2003,1111523144,607699299977.15,4,63.7,3.18,5351000,4385000000,2726000,4560000000
Kazakhstan,2003,14909018,30833699702.76,13.1,65.87,8.78,2374000,783000000,3237000,638000000
Kyrgyz Republic,2003,5043300,1919012666.57,8.4,68.26,9.92,116000,35000000,342000,62000000
Latvia,2003,2287955,11748433157.05,8.8,71.27,12.06,2286000,365000000,971000,271000000
Lithuania,2003,3415213,18802576988.16,10.1,72.06,12.88,3502000,476000000,1491000,700000000
Malta,2003,398582,5456583589.39,0,78.55,7.49,174000,238000000,1127000,869000000
Mexico,2003,103081020,729336319677.45,9.5,75.12,3.45,11044000,7252000000,18665000,10058000000
Nicaragua,2003,5292118,5322454925.85,12.1,70.64,7.6,562000,139000000,526000,160000000
Panama,2003,3209048,13693981200,10.5,75.56,4.41,227000,267000000,566000,804000000
Paraguay,2003,5632983,7691367471.18,22.9,71.25,6.81,153000,115000000,268000,81000000
Philippines,2003,83051971,83908206647.93,7.8,68.94,3.53,1803000,1649000000,1907000,1821000000
Puerto Rico,2003,3826095,74827400000,20.8,78.07,11.78,1272000,1420000000,3238000,2677000000
Russian Federation,2003,144648257,430347770733.16,28.9,65.05,8.21,20572000,13427000000,22521000,5879000000
Sri Lanka,2003,19224037,18881765437.22,6.8,73.8,8.22,561000,462000000,501000,709000000
Turkey,2003,66089402,311823003788.62,4.3,71.56,10.54,5928000,2113000000,13341000,13203000000
Ukraine,2003,47812950,50084197498.45,8.5,68.21,9.06,14795000,953000000,12514000,1204000000
United States,2003,290107933,11458243878000,5.7,77.04,5.99,56250000,82091000000,41218000,101535000000
"Venezuela, RB",2003,25551624,83620628582.11,43.8,72.62,16.78,832000,1311000000,337000,378000000
Algeria,2003,32264157,67863829880.48,2,72.1,23.72,1254000,255000000,1166000,112000000
Finland,2003,5213014,171071106094.81,2,78.37,10.47,5585000,2954000000,2047000,2676000000
Armenia,2003,3017932,2807061008.69,2.5,72.35,11.23,169000,97000000,206000,90000000
Bangladesh,2003,134791603,60158929188.26,2.5,66.89,4.32,1414000,389000000,245000,59000000
Romania,2003,21574326,57806506024.1,2.5,71.31,6.95,6497000,572000000,5595000,523000000
Nepal,2003,25080872,6330473096.54,3,64.17,1.89,258000,119000000,338000,232000000
Thailand,2003,64549866,152280653543.73,10,71.39,1.54,2152000,3538000000,10082000,10456000000
Japan,2003,127718000,4445658071221.86,0.5,81.76,5.3,13296000,36505000000,5212000,11475000000
Switzerland,2003,7339001,352914820747.01,1,80.54,4.12,8774000,8614000000,6530000,10493000000
Australia,2003,19895400,466488060570.76,1.5,80.24,5.93,3388000,10434000000,4746000,14981000000
Albania,2003,3039616,5611492282.87,5.3,74.83,17.5,1350000,507000000,557000,537000000
Austria,2003,8121423,261695778781.04,0.6,78.63,4.78,8384000,9761000000,19078000,15128000000
"Egypt, Arab Rep.",2003,72826097,82924503942.64,0.6,69.12,11.01,3644000,1465000000,5746000,4704000000
Singapore,2003,4114826,97645448283.78,0.6,79.04,5.93,4221000,8382000000,4703000,3842000000
Denmark,2003,5390574,218096033517.01,1.2,77.14,5.4,5564000,6659000000,3474000,5271000000
Italy,2003,57313203,1569649661399.55,1.2,79.98,8.87,24572000,23728000000,39604000,32592000000
Netherlands,2003,16225302,578792325056.43,1.2,78.49,3.59,16425000,15887000000,9181000,14603000000
Canada,2003,31644028,892382413817.71,1.7,79.74,7.57,17739000,16309000000,17534000,12236000000
Morocco,2003,29782884,52064058833.97,1.7,70.4,11.92,1612000,845000000,4761000,3802000000
Poland,2003,38204570,217513049291.61,1.7,74.6,19.37,38730000,3286000000,13720000,4733000000
Malaysia,2003,24698819,110202368421.05,2.3,73.17,3.61,32201000,3401000000,10577000,6799000000
Syrian Arab Republic,2003,17415214,21828144686.04,2.3,73.97,10.28,3997000,734000000,2598000,877000000
Indonesia,2003,220309469,234772463823.81,0.7,66.63,6.66,3478000,4427000000,4467000,4461000000
Luxembourg,2003,451630,29557325056.43,0.7,77.73,3.67,1021000,2445000000,867000,3051000000
Cyprus,2003,993563,14547327293.32,1.4,78.39,4.14,737000,698218900,2303000,2318284000
Spain,2003,42187645,906853273137.7,1.4,79.62,11.28,4094000,11330000000,50854000,43863000000
China,2003,1288400000,1660287965662.68,1.9,72.38,4.6,20222000,16716000000,32970000,18707000000
Azerbaijan,2003,8234100,7276013031.97,2.2,67.79,9.25,1475000,120000000,768000,70000000
Belgium,2003,10376133,319002821670.43,2.2,78.13,7.68,7268000,13402000000,6690000,8848000000
Hungary,2003,10129552,85324771841.41,2.2,72.3,5.79,14283000,2700000000,2948000,4119000000
Bulgaria,2003,7775327,20982685981.42,3.2,72.07,13.73,3403000,1467000000,4048000,2051000000
Chile,2003,15849652,75643459839.6,3.2,77.15,9.77,1341000,1109000000,1614000,1309000000
Mauritius,2003,1213370,5816553825.08,3.2,72.12,8.36,161000,236000000,702000,960000000
Uruguay,2003,3323668,12045631092.54,5.9,75.37,13.09,495000,236000000,1420000,419000000
"Hong Kong SAR, China",2003,6730800,161384522525.3,0.8,81.38,7.86,60936000,11447000000,9676000,9004000000
"Korea, Rep.",2003,47892330,680520724062.4,0.8,77.21,3.6,7086000,11063000000,4753000,7005000000
Germany,2003,82534176,2505733634311.51,1.1,78.38,9.78,85345000,73203000000,18399000,30104000000
New Zealand,2003,4027200,88250885550.26,1.1,79.15,4.75,1374000,1649000000,2086000,4232000000
Norway,2003,4564855,228752436371.85,1.1,79.39,4.22,2588000,7089000000,3269000,2989000000
Saudi Arabia,2003,22456649,215807655253.33,1.1,73.05,5.56,4104000,4165000000,7332000,3418000000
